City_ID,city,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
266,thompson,-25.3667,-57.6167,67.59,90.0,83.0,7.25,PY,1623025200.0
267,gwadar,28.6453,70.6567,91.67,0.0,45.0,14.7,PK,1623025200.0
268,aykhal,41.0866,31.1162,59.92,41.0,63.0,5.28,TR,1623025200.0
269,fare,-29.9533,-71.3436,55.13,90.0,87.0,2.95,CL,1623025200.0
270,zanjan,-34.4833,-54.3333,45.77,52.0,91.0,4.32,UY,1623024987.0
271,naryan-mar,36.6777,-121.6555,77.41,1.0,58.0,14.97,US,1623025201.0
272,san carlos de bariloche,36.5167,-86.8667,75.87,1.0,89.0,3.44,US,1623025206.0
273,mys shmidta,-10.4544,161.9205,83.01,70.0,76.0,7.81,SB,1623025206.0
274,faanui,66.7131,27.4306,46.71,2.0,59.0,5.14,FI,1623025206.0
275,palmer,-36.3132,-57.6792,45.14,90.0,74.0,4.21,AR,1623025206.0
276,codrington,-14.8031,36.5372,60.24,38.0,85.0,7.05,MZ,1623025207.0
277,leningradskiy,-33.4833,150.15,50.86,78.0,50.0,3.85,AU,1623025207.0
278,polunochnoye,-31.0833,152.8333,60.94,3.0,66.0,1.99,AU,1623025207.0
279,tukrah,-26.6481,15.1594,68.02,1.0,31.0,12.08,NA,1623025208.0
280,tual,66.1451,-65.7125,29.79,31.0,94.0,2.04,CA,1623025208.0
281,nuevo progreso,32.6881,128.8419,70.83,100.0,83.0,7.45,JP,1623024954.0
282,nabire,35.174,-2.9287,68.25,0.0,73.0,2.3,MA,1623025208.0
283,vila do maio,-33.295,-66.3356,51.39,63.0,55.0,1.92,AR,1623025208.0
284,cam ranh,-37.8333,140.7667,58.91,100.0,67.0,19.57,AU,1623025209.0
285,guerrero negro,65.6145,-37.6368,41.16,98.0,90.0,5.03,GL,1623025209.0
286,puerto ayacucho,62.5333,155.8,51.98,77.0,64.0,8.72,RU,1623025209.0
287,barinas,-16.4708,-54.6356,75.52,92.0,51.0,4.52,BR,1623025209.0
288,villa elisa,63.8424,-22.4338,48.15,75.0,100.0,15.12,IS,1623025210.0
289,khanpur,-5.4983,-36.5056,77.43,68.0,75.0,16.06,BR,1623025210.0
290,akcakoca,-13.7833,14.6833,53.15,54.0,52.0,1.74,AO,1623025210.0
291,tabiauea,5.3505,48.5268,78.53,25.0,86.0,21.12,SO,1623025210.0
292,coquimbo,50.7833,121.5167,69.78,5.0,38.0,2.8,CN,1623025211.0
293,rocha,-17.7125,-39.2481,72.61,14.0,87.0,4.99,BR,1623025211.0
294,palabuhanratu,45.7625,106.2708,46.53,4.0,69.0,18.63,MN,1623025211.0
295,salinas,69.7008,170.3133,48.72,25.0,64.0,12.41,RU,1623025211.0
296,naftah,28.3667,129.4833,74.32,100.0,95.0,3.89,JP,1623025212.0
297,robertson,29.1431,71.2598,94.05,0.0,33.0,11.63,PK,1623025212.0
298,kirakira,57.0209,28.9103,54.48,74.0,97.0,4.32,RU,1623025212.0
299,kemijarvi,5.4112,100.3354,80.89,20.0,88.0,3.44,MY,1623025212.0
300,dolores,-13.7,-76.2167,63.01,20.0,82.0,9.22,PE,1623025213.0
301,cuamba,38.7737,68.8178,74.93,2.0,26.0,8.39,TJ,1623025213.0
302,bokspits,51.226,-58.6502,50.7,70.0,65.0,13.96,CA,1623025213.0
303,lithgow,56.2389,43.4631,61.45,40.0,100.0,3.04,RU,1623025213.0
304,kempsey,43.3236,145.575,70.23,32.0,86.0,1.66,JP,1623024933.0
305,luderitz,-35.3333,-72.4167,51.98,100.0,70.0,7.2,CL,1623025214.0
306,pangnirtung,24.9227,102.485,61.34,68.0,89.0,3.89,CN,1623025214.0
307,fukue,-5.1989,-35.4608,76.1,12.0,86.0,13.58,BR,1623025214.0
308,nador,-33.8667,121.9,57.04,100.0,60.0,26.4,AU,1623025214.0
309,san luis,34.5,62.0,75.58,0.0,35.0,8.81,AF,1623025215.0
310,mount gambier,62.7167,147.95,52.07,99.0,63.0,4.56,RU,1623025215.0
311,tasiilaq,69.4058,86.1778,32.0,100.0,94.0,6.73,RU,1623025215.0
312,omsukchan,10.8333,-12.5833,75.72,99.0,91.0,1.28,GN,1623025215.0
313,rondonopolis,72.7868,-56.1549,36.84,62.0,85.0,4.68,GL,1623025216.0
